,kepoi_name,koi_prad,koi_insol,koi_score,size_category
350,K00975.01,1.69,2388.98,1.0,super-earth-like
339,K01108.01,13.92,443.58,1.0,Gas-Giant
336,K01106.01,2.47,273.78,1.0,super-earth-like
333,K00139.01,7.67,2.92,1.0,Gas-Giant
4714,K03261.01,1.67,102.25,1.0,super-earth-like
4649,K03246.01,0.78,1336.82,1.0,earth-like
4634,K03324.01,2.37,21.77,1.0,super-earth-like
4592,K03311.01,4.98,47.21,1.0,neptune-like
4570,K03308.01,1.5,23.96,1.0,earth-like
4568,K03306.01,1.76,34.7,1.0,super-earth-like
4508,K03158.01,0.5,182.81,1.0,earth-like
4377,K04450.01,2.33,1.72,1.0,super-earth-like
4359,K03158.05,0.95,48.52,1.0,earth-like
4339,K04510.01,1.31,565.42,1.0,earth-like
4318,K03158.04,0.62,65.88,1.0,earth-like
414,K00988.02,2.82,15.33,1.0,super-earth-like
413,K00988.01,2.18,48.37,1.0,super-earth-like
412,K00987.01,1.21,347.01,1.0,earth-like
411,K00152.02,3.63,68.46,1.0,neptune-like
408,K01194.01,2.01,20.59,1.0,super-earth-like
404,K01117.01,3.51,965.62,1.0,neptune-like
403,K01116.01,1.68,428.25,1.0,super-earth-like
397,K00139.02,1.67,798.41,1.0,super-earth-like
395,K00986.01,1.92,88.36,1.0,super-earth-like
382,K01113.01,2.48,55.1,1.0,super-earth-like
4274,K03158.03,0.65,88.79,1.0,earth-like
4263,K04566.01,1.4,218.91,1.0,earth-like
4215,K03158.02,0.65,134.21,1.0,earth-like
4157,K02585.02,1.07,155.7,1.0,earth-like
450,K01127.01,2.26,242.97,1.0,super-earth-like
447,K00148.01,1.85,177.79,1.0,super-earth-like
442,K01061.01,2.02,19.02,1.0,super-earth-like
439,K00993.01,1.75,34.57,1.0,super-earth-like
433,K00152.03,3.39,176.29,1.0,neptune-like
429,K01199.01,2.28,3.48,1.0,super-earth-like
422,K01060.03,2.96,119.42,1.0,super-earth-like
420,K01060.01,2.98,240.8,1.0,super-earth-like
419,K01059.01,1.14,2138.47,1.0,earth-like
417,K00135.01,12.14,1162.54,1.0,Gas-Giant
4123,K04192.01,1.51,38.57,1.0,super-earth-like
4033,K04382.01,0.89,1187.5,1.0,earth-like
4020,K02458.02,1.77,473.18,1.0,super-earth-like
3977,K02442.02,1.51,42.42,1.0,super-earth-like
3962,K04300.01,1.64,302.74,1.0,super-earth-like
3944,K04364.01,1.22,218.18,1.0,earth-like
3939,K04295.01,1.51,145.65,1.0,super-earth-like
491,K00148.02,2.63,69.42,1.0,super-earth-like
488,K01070.02,4.75,7.39,1.0,neptune-like
487,K01070.01,2.98,304.65,1.0,super-earth-like
485,K01069.02,1.56,398.42,1.0,super-earth-like
482,K00999.02,2.18,5.25,1.0,super-earth-like
481,K00999.01,2.54,21.27,1.0,super-earth-like
471,K01129.01,1.48,157.93,1.0,earth-like
470,K01128.01,1.16,1605.87,1.0,earth-like
468,K01127.02,1.39,138.51,1.0,earth-like
467,K01069.01,2.86,74.13,1.0,super-earth-like
457,K00993.02,1.45,68.66,1.0,earth-like
3856,K04347.01,0.99,493.09,1.0,earth-like
3817,K04126.01,1.45,199.74,1.0,earth-like
